Epoch 0: cls=6.0218, box=0.3045, dfl=2.0773, lr=0.000999
Epoch 1: cls=3.6920, box=0.2470, dfl=1.6996, lr=0.000996
Epoch 2: cls=2.7124, box=0.2002, dfl=1.4501, lr=0.000991
Epoch 3: cls=2.1651, box=0.1686, dfl=1.2653, lr=0.000984
Epoch 4: cls=1.8707, box=0.1464, dfl=1.1385, lr=0.000976
Epoch 5: cls=1.5864, box=0.1302, dfl=1.0457, lr=0.000965
Epoch 6: cls=1.3600, box=0.1144, dfl=0.9596, lr=0.000952
Epoch 7: cls=1.2046, box=0.1035, dfl=0.9001, lr=0.000938
Epoch 8: cls=1.1323, box=0.0960, dfl=0.8590, lr=0.000922
Epoch 9: cls=1.0160, box=0.0882, dfl=0.8182, lr=0.000905
Epoch 10: cls=0.9666, box=0.0827, dfl=0.7913, lr=0.000885
Epoch 11: cls=0.8532, box=0.0764, dfl=0.7605, lr=0.000864
Epoch 12: cls=0.7999, box=0.0718, dfl=0.7396, lr=0.000842
Epoch 13: cls=0.7575, box=0.0672, dfl=0.7180, lr=0.000819
Epoch 14: cls=0.7214, box=0.0649, dfl=0.7065, lr=0.000794
Epoch 15: cls=0.6827, box=0.0613, dfl=0.6906, lr=0.000768
Epoch 16: cls=0.6309, box=0.0580, dfl=0.6772, lr=0.000741
Epoch 17: cls=0.6263, box=0.0556, dfl=0.6677, lr=0.000713
Epoch 18: cls=0.6384, box=0.0548, dfl=0.6628, lr=0.000684
Epoch 19: cls=0.5707, box=0.0519, dfl=0.6526, lr=0.000655
Epoch 20: cls=0.5881, box=0.0511, dfl=0.6481, lr=0.000624
Epoch 21: cls=0.5322, box=0.0478, dfl=0.6365, lr=0.000594
Epoch 22: cls=0.5132, box=0.0456, dfl=0.6297, lr=0.000563
Epoch 23: cls=0.4873, box=0.0434, dfl=0.6222, lr=0.000531
Epoch 24: cls=0.4864, box=0.0425, dfl=0.6180, lr=0.000500
Epoch 25: cls=0.4589, box=0.0409, dfl=0.6123, lr=0.000469
Epoch 26: cls=0.4390, box=0.0391, dfl=0.6071, lr=0.000437
Epoch 27: cls=0.4250, box=0.0372, dfl=0.6018, lr=0.000406
Epoch 28: cls=0.4129, box=0.0360, dfl=0.5983, lr=0.000376
Epoch 29: cls=0.4041, box=0.0348, dfl=0.5947, lr=0.000345
Epoch 30: cls=0.3909, box=0.0335, dfl=0.5920, lr=0.000316
Epoch 31: cls=0.3709, box=0.0313, dfl=0.5866, lr=0.000287
Epoch 32: cls=0.3621, box=0.0299, dfl=0.5841, lr=0.000259
Epoch 33: cls=0.3514, box=0.0289, dfl=0.5810, lr=0.000232
Epoch 34: cls=0.3413, box=0.0281, dfl=0.5789, lr=0.000206
Epoch 35: cls=0.3336, box=0.0273, dfl=0.5769, lr=0.000181
Epoch 36: cls=0.3174, box=0.0256, dfl=0.5743, lr=0.000158
Epoch 37: cls=0.3093, box=0.0248, dfl=0.5719, lr=0.000136
Epoch 38: cls=0.2974, box=0.0232, dfl=0.5699, lr=0.000115
Epoch 39: cls=0.2899, box=0.0225, dfl=0.5685, lr=0.000095
Epoch 40: cls=0.2843, box=0.0221, dfl=0.5672, lr=0.000078
Epoch 41: cls=0.2758, box=0.0211, dfl=0.5654, lr=0.000062
Epoch 42: cls=0.2693, box=0.0203, dfl=0.5648, lr=0.000048
Epoch 43: cls=0.2623, box=0.0197, dfl=0.5642, lr=0.000035
Epoch 44: cls=0.2579, box=0.0192, dfl=0.5630, lr=0.000024
Epoch 45: cls=0.2562, box=0.0188, dfl=0.5626, lr=0.000016
Epoch 46: cls=0.2528, box=0.0185, dfl=0.5626, lr=0.000009
Epoch 47: cls=0.2527, box=0.0184, dfl=0.5622, lr=0.000004
Epoch 48: cls=0.2495, box=0.0182, dfl=0.5619, lr=0.000001
Epoch 49: cls=0.2468, box=0.0179, dfl=0.5616, lr=0.000000
